대분류,소분류,주중 가격,주말 가격
중앙석,,90000,90000
테이블석,,56000,62000
익사이팅존,,30000,35000
블루석,,24000,26000
오렌지석(응원석),,22000,24000
레드석,,19000,21000
네이비석,,16000,18000
외야 응원석,일반,11000,12000
외야 응원석,청소년/군인,9000,10000
외야 응원석,어린이/유공자/경로자,5500,6000
외야 지정석,일반,10000,11000
외야 지정석,청소년/군인,8000,9000
외야 지정석,어린이/유공자/경로자,5000,5500
