대분류,소분류,주중(월~목),주말(금~일/공휴일)
일반석,K9,16000,20000
일반석,K8,14000,18000
일반석,K5,12000,16000
일반석,EV석,10000,13000
일반석,외야석,10000,13000
특별석,스카이박스,75000,85000
특별석,챔피언석,50000,60000
특별석,중앙 테이블석,45000,55000
특별석,메디힐 테이블석,30000,35000
특별석,파티석,25000,30000
특별석,타이거즈 가족석,22000,27000
특별석,외야 가족석,20000,25000
특별석,서프라이즈석,25000,30000
특별석,응원특별석,15000,19000
특별석,휠체어석,4000,5000
특별석,K9 중증 장애인석,4000,5000
